Darius             Pavardenis5 |   1  1  5  2  3  2  3  3  1  6 |   1 ; final points:  1.68
Irma               Pavardaite3 |   1  1  1  1  2  4  7  6  2  4 |   1 ; final points:  1.76
Irma               Pavardaite9 |   3  3  5  1  1  1  3  1  7  6 |   1 ; final points:  1.84
Egle               Pavardaite2 |   6  1  2  1  2  1  7  3  4  5 |   1 ; final points:  1.88
Irena              Pavardaite4 |   9  5  2  3  1  1  1  1  9  1 |   1 ; final points:  1.92
Jonas             Pavardenis10 |   5  1  1  7  1  3  9  2  3  1 |   1 ; final points:  1.92
Jolanta            Pavardaite5 |   4  7  1  6  1  5  2  1  2  4 |   1 ; final points:  1.92
Irena              Pavardaite4 |   2  9  1  2  2  5  7  1  2  2 |   1 ; final points:  1.92
Darius             Pavardenis6 |   7  4  3  1  6  8  1  1  1  1 |   1 ; final points:  1.92
Ignas              Pavardenis2 |   1  1  6  6  7  1  3  1  4  3 |   1 ; final points:  1.92
Jolanta            Pavardaite6 |   4  1  1  1  7  2  8  6  1  3 |   1 ; final points:  1.96
Jonas              Pavardenis9 |   1  5  2  3  1  7  4  3  6  2 |   1 ; final points:  1.96
Darius            Pavardenis10 |   4  5  2  2  5 10  1  2  1  2 |   1 ; final points:  1.96
Simas              Pavardenis7 |   6  5  8  2  1  2  1  2  2  5 |   1 ; final points:  1.96
Darius             Pavardenis8 |   7  4  1  9  2  3  3  4  1  1 |   1 ; final points:  2.00
Egle               Pavardaite1 |   4  1  4  4  3  1  9  3  1  5 |   1 ; final points:  2.00
Petras             Pavardenis6 |   9  1  2  3  6  1  2  3  5  3 |   1 ; final points:  2.00
Petras            Pavardenis10 |   7  1  1  3  7  1  3 10  1  1 |   1 ; final points:  2.00
Irma               Pavardaite5 |   3  1  4  1  3  9  2  6  2  5 |   1 ; final points:  2.04
Irena              Pavardaite2 |   3  3  3  1  4  1  2  2  9  8 |   1 ; final points:  2.04
Alma               Pavardaite5 |   6  1  9  4  5  1  2  2  5  1 |   1 ; final points:  2.04
Jolanta            Pavardaite6 |   1  9  2  7  3  5  4  3  1  1 |   1 ; final points:  2.04
Irma               Pavardaite5 |   5  2  3  1  3  9  7  1  1  4 |   1 ; final points:  2.04
Darius             Pavardenis6 |   1  2  5  3  5  4  1  7  7  2 |   1 ; final points:  2.08
Egle               Pavardaite7 |   2  8  6  2  1  7  1  1  7  2 |   1 ; final points:  2.08
Egle               Pavardaite8 |   2  1  8  7  2  4  6  1  1  5 |   1 ; final points:  2.08
Irma               Pavardaite1 |   6  3  1  2  7  2  2  7  6  1 |   1 ; final points:  2.08
Irma               Pavardaite1 |   8  3  2  2  6  4  3  5  1  3 |   1 ; final points:  2.08
Irena              Pavardaite2 |   5 10  1  4  1  3  4  2  3  4 |   1 ; final points:  2.08
Petras            Pavardenis10 |   7  1  1  1  6  2  1  5  5  8 |   1 ; final points:  2.08
