Ignas              Pavardenis1 |   5  5  9  7  1  9  8  8  7  6 |   4 ; final points:  5.00
Ignas              Pavardenis1 |   6  4  8  9  6 10  7  5  8  2 |   4 ; final points:  5.00
Ignas              Pavardenis6 |   5  5  6  4  5  4  8  9  1  3 |   5 ; final points:  5.00
Alma               Pavardaite4 |   8  6  5  6  3  6  6  8 10  7 |   4 ; final points:  5.00
Darius             Pavardenis1 |   6  7 10  6  7  6  6  5 10  2 |   4 ; final points:  5.00
Alma               Pavardaite8 |   2  3  2 10  6  8  5  8  1  5 |   5 ; final points:  5.00
Jolanta            Pavardaite8 |   1  3  6  5 10  7  3  2  5  8 |   5 ; final points:  5.00
Egle               Pavardaite4 |   5  6  7  5  9 10 10  5  6  2 |   4 ; final points:  5.00
Alma               Pavardaite2 |   7  8  2  4  6  7  8  6  9  8 |   4 ; final points:  5.00
Simas              Pavardenis6 |   8  4  7  4  7  2  7  8  1  2 |   5 ; final points:  5.00
Jonas              Pavardenis3 |   3  8 10  3  6  4  7  9  7  8 |   4 ; final points:  5.00
Irma               Pavardaite8 |   8 10  8  3  9 10 10  9  4  9 |   3 ; final points:  5.00
Jonas              Pavardenis8 |   6  7  6  2  5  3  3  1  9  8 |   5 ; final points:  5.00
Simas              Pavardenis3 |   6  1  3  5  3  7  4  4  8  9 |   5 ; final points:  5.00
Jonas              Pavardenis3 |  10  9  8 10  2  4 10  3  1  8 |   4 ; final points:  5.00
Jonas              Pavardenis6 |   6  8  2  4  5  8 10  3  9 10 |   4 ; final points:  5.00
Irena              Pavardaite2 |   6  7  7  7  3  7  2  1  4  6 |   5 ; final points:  5.00
Irma               Pavardaite9 |   6  1  5  2  3  9  5  4  5 10 |   5 ; final points:  5.00
Irena              Pavardaite6 |   2  1  3  8  4  4  4  8 10  6 |   5 ; final points:  5.00
Darius             Pavardenis5 |   8  8  3  1  3  8  4 10  1  4 |   5 ; final points:  5.00
Irma               Pavardaite4 |  10  9  2  1  4  4  1  3 10  6 |   5 ; final points:  5.00
Ignas             Pavardenis10 |   2  5  7  7 10  8  1  1  6  3 |   5 ; final points:  5.00
Irena             Pavardaite10 |   7  4  8  1  1  9  5  3  8  4 |   5 ; final points:  5.00
Jolanta            Pavardaite7 |   2 10 10  2 10  4 10  9  2  6 |   4 ; final points:  5.00
Petras             Pavardenis3 |  10  2 10 10  2  7  5  7  9  3 |   4 ; final points:  5.00
Alma               Pavardaite2 |   1  4 10  4  5  7  1  3  6  9 |   5 ; final points:  5.00
Petras             Pavardenis6 |   6  6  7  8  4  6  2 10 10  6 |   4 ; final points:  5.00
Alma              Pavardaite10 |   3 10  6  9 10  2  9  5  9  2 |   4 ; final points:  5.00
Petras             Pavardenis1 |  10  8  2  5  9  3  9  9  3  7 |   4 ; final points:  5.00
Darius             Pavardenis8 |  10  4  3  7  1  9 10  1 10 10 |   4 ; final points:  5.00
Jolanta           Pavardaite10 |   4  9  5  2  5  1  5  7  9  3 |   5 ; final points:  5.00
Egle               Pavardaite8 |   4 10  5  2  3  2  5  8  6  5 |   5 ; final points:  5.00
Simas              Pavardenis9 |   9  7  3  4  7  6  9  4  8  8 |   4 ; final points:  5.00
Jonas              Pavardenis7 |   8  2  9  3  9  2  9  4  1  3 |   5 ; final points:  5.00
Alma               Pavardaite7 |   8  8  9  6  7  6  4  6 10  1 |   4 ; final points:  5.00
Egle               Pavardaite5 |   9  5 10  4  1  4  8  4  3  2 |   5 ; final points:  5.00
Simas              Pavardenis2 |   7  8 10  2  8 10  9  4  5  2 |   4 ; final points:  5.00
Egle               Pavardaite7 |   7  6  5  5 10  3  4  9  8  8 |   4 ; final points:  5.00
Alma               Pavardaite3 |   9  4  4  9  3  5  5  1  4  6 |   5 ; final points:  5.00
Simas              Pavardenis9 |   6 10  9  5  5  7  2 10  3  8 |   4 ; final points:  5.00
Irma               Pavardaite7 |   1  8  8 10  5  9  3  9  2 10 |   4 ; final points:  5.00
Petras             Pavardenis9 |   4  9  4  7  8  1  5  6  1  5 |   5 ; final points:  5.00
Irma              Pavardaite10 |   1  7  9 10  3 10  9  9  4  3 |   4 ; final points:  5.00
Jonas              Pavardenis1 |   3  3  3  7  6  8  4  8  5  3 |   5 ; final points:  5.00
Irena              Pavardaite9 |  10  9  5 10  7  1  9  5  7  2 |   4 ; final points:  5.00
Simas              Pavardenis4 |   4  9  2  3  2  3  4  9  4 10 |   5 ; final points:  5.00
Alma               Pavardaite7 |   7  6  1  8 10 10  7 10  2  4 |   4 ; final points:  5.00
Alma               Pavardaite2 |   7  3  8  8  8  9 10  3  6  3 |   4 ; final points:  5.00
Irma              Pavardaite10 |  10 10  2  9  1  9 10  3  4  7 |   4 ; final points:  5.00
Egle               Pavardaite4 |   6  6  2  1  2  1  2  4  1 10 |   6 ; final points:  5.00
Irena              Pavardaite8 |   3  4 10  3  2  7  7  1  6  7 |   5 ; final points:  5.00
Simas              Pavardenis2 |   3  4  5  7  4 10  4  7  1  5 |   5 ; final points:  5.00
Jonas              Pavardenis3 |  10  9  8  7  5  8  4  9  2  3 |   4 ; final points:  5.00
Alma               Pavardaite7 |   9  8  1  4  5  4 10  5  2  2 |   5 ; final points:  5.00
Jonas              Pavardenis8 |   4  4  8 10  5  8 10 10  2  4 |   4 ; final points:  5.00
Irma               Pavardaite8 |   7  2  3 10  3  8  7 10  8  7 |   4 ; final points:  5.00
Egle              Pavardaite10 |   7  7  7  5  1  8  7 10  8  5 |   4 ; final points:  5.00
Irena              Pavardaite6 |   1  4  2  1  8  8  1  3  1  6 |   6 ; final points:  5.00
Jolanta            Pavardaite2 |   9  2  5 10  1  4  1  8  2  8 |   5 ; final points:  5.00
Darius             Pavardenis7 |   1  5  7  2  7  7  7  6  7  1 |   5 ; final points:  5.00
Irma               Pavardaite8 |   8  2  2  1  1  6  4  5  2  4 |   6 ; final points:  5.00
Darius             Pavardenis5 |   5  7  6  9 10  5  3  4  7  9 |   4 ; final points:  5.00
Darius             Pavardenis9 |   5  9  4  4  2  3  5 10  1  7 |   5 ; final points:  5.00
Petras             Pavardenis2 |   5  3  9  2  9  6  2  5  6  3 |   5 ; final points:  5.00
Irena             Pavardaite10 |   3  6  4  2  2  1  4  1  5  7 |   6 ; final points:  5.00
Jolanta            Pavardaite1 |   9 10  9  7  1  7  6  5  5  7 |   4 ; final points:  5.04
Simas              Pavardenis8 |   3 10  8  2  8  5  5  5  3  2 |   5 ; final points:  5.04
Petras             Pavardenis1 |   8  1  1  4  7  4  6  7  6  7 |   5 ; final points:  5.04
Alma               Pavardaite5 |   9  6 10  1  8  3  7  6  6 10 |   4 ; final points:  5.04
Darius             Pavardenis3 |   7  6  9  7  2  2  3  6  1  8 |   5 ; final points:  5.04
Jonas              Pavardenis3 |   5  6  9  8  4  3  5 10  8  8 |   4 ; final points:  5.04
Irena              Pavardaite9 |   6 10  1  3  2  9  2  6 10  2 |   5 ; final points:  5.04
Darius             Pavardenis2 |   8  8  6  6  4  4  6  8 10  6 |   4 ; final points:  5.04
Egle               Pavardaite8 |   3  7  9  2  9  9  4  1  1  6 |   5 ; final points:  5.04
Petras             Pavardenis7 |   1  9  1  4  5  6  6  7  2 10 |   5 ; final points:  5.04
Ignas              Pavardenis3 |   5  2  9  5  3  2  7  5  5  8 |   5 ; final points:  5.04
Irena              Pavardaite1 |   4 10  6  6  9  9  9  2  1 10 |   4 ; final points:  5.04
Jonas              Pavardenis7 |  10  3 10  2  7  8  8  3  5 10 |   4 ; final points:  5.04
Petras             Pavardenis8 |   3  5 10  7  3  1  9  2  8  3 |   5 ; final points:  5.04
Irena              Pavardaite7 |   7  6  4 10 10  6  1  9  4  9 |   4 ; final points:  5.04
Egle               Pavardaite5 |   2  6 10 10 10  5  7  4  2 10 |   4 ; final points:  5.04
Darius             Pavardenis7 |   2  6  8  5  3 10  4  4  7  2 |   5 ; final points:  5.04
Petras             Pavardenis5 |   8  7  2  9  5  5  5  1  4  5 |   5 ; final points:  5.04
Egle              Pavardaite10 |   2 10  5  6  3  7 10  6  9  8 |   4 ; final points:  5.04
Alma               Pavardaite5 |   1  3  8  6  9  1  9  5  3  6 |   5 ; final points:  5.04
Petras             Pavardenis1 |   5 10  4  9  8  4  9  5  5  7 |   4 ; final points:  5.04
Ignas              Pavardenis4 |   3  4  6  4  5  1  2  3  2  6 |   6 ; final points:  5.04
Alma               Pavardaite2 |   5  4  3  8  5  2  3  4  9  8 |   5 ; final points:  5.04
Irma               Pavardaite9 |   7  9  2  9  5  9 10  1 10  4 |   4 ; final points:  5.04
Irma               Pavardaite5 |   5  5  5  8 10  3  9  7  4 10 |   4 ; final points:  5.04
Petras             Pavardenis6 |   3  7 10  4  3  4  8  1 10  1 |   5 ; final points:  5.04
Petras             Pavardenis9 |   3  4  6  7  3  9 10  3  5  1 |   5 ; final points:  5.04
Alma               Pavardaite5 |   6  4  2  3  9  5  7  3  5  7 |   5 ; final points:  5.04
Jolanta            Pavardaite3 |  10  6  3  5  3  9  8  3  2  2 |   5 ; final points:  5.04
Darius            Pavardenis10 |   6  4  4  5  4  2  7  5  9  5 |   5 ; final points:  5.04
Egle               Pavardaite3 |   4  7  9  7  4  1  5  4  3  7 |   5 ; final points:  5.04
